ID клиента,Тип компании,Прибыль компании-клиента,Постоянный или новый клиент,Потребность клиента в товаре,Договор_заключен,Стадия работы с клиентом
250,Маркетинг,7995407,Новый,Высокая потребность,0,Работа над договором
251,Строительство,6866806,Постоянный,Высокая потребность,1,Договор заключен
252,Продажи,14979454,Постоянный,Средняя потребность,1,Договор заключен
253,Строительство,3251276,Постоянный,Высокая потребность,0,Холодный звонок
254,Финансы,7525132,Постоянный,Срочная потребность,0,Работа над договором
255,Консалтинг,4846002,Постоянный,Высокая потребность,0,Договор расторгнут
256,Строительство,3898402,Постоянный,Срочная потребность,1,Договор заключен
257,Консалтинг,3580156,Постоянный,Высокая потребность,0,Договор расторгнут
258,Маркетинг,4030592,Новый,Нет потребности,0,Холодный звонок
259,Строительство,11352808,Постоянный,Средняя потребность,0,Холодный звонок
260,Консалтинг,8289468,Постоянный,Высокая потребность,0,Холодный звонок
261,Торговля,8790470,Постоянный,Срочная потребность,0,Работа над договором
262,Строительство,9666428,Постоянный,Средняя потребность,1,Договор заключен
263,Финансы,14860040,Постоянный,Низкая потребность,1,Договор заключен
264,Ритейл,17257016,Постоянный,Высокая потребность,1,Договор заключен
265,Ритейл,10599746,Новый,Низкая потребность,0,Холодный звонок
266,Консалтинг,12898710,Постоянный,Высокая потребность,1,Договор заключен
267,Продажи,14810386,Постоянный,Высокая потребность,1,Договор заключен
268,Финансы,13854478,Постоянный,Высокая потребность,1,Договор заключен
269,Консалтинг,2815116,Постоянный,Срочная потребность,1,Договор заключен
270,Консалтинг,19662295,Постоянный,Высокая потребность,1,Договор заключен
271,Финансы,3421494,Постоянный,Высокая потребность,1,Договор заключен
272,Маркетинг,8325092,Постоянный,Высокая потребность,0,Холодный звонок
273,Строительство,13104158,Постоянный,Срочная потребность,1,Договор заключен
274,Ритейл,8156584,Новый,Срочная потребность,0,Холодный звонок
275,Финансы,4976153,Постоянный,Нет потребности,0,Работа над договором
276,Продажи,18478437,Новый,Высокая потребность,0,Работа над договором
277,Продажи,1569866,Постоянный,Низкая потребность,1,Договор заключен
278,Торговля,5030630,Постоянный,Срочная потребность,1,Договор заключен
279,Маркетинг,19860997,Постоянный,Высокая потребность,1,Договор заключен
280,Маркетинг,14636832,Новый,Средняя потребность,0,Работа над договором
281,Строительство,1876481,Постоянный,Низкая потребность,0,Договор расторгнут
282,Продажи,15128276,Новый,Средняя потребность,0,Холодный звонок
283,Консалтинг,19394773,Постоянный,Высокая потребность,0,Холодный звонок
284,Продажи,2091091,Постоянный,Низкая потребность,0,Холодный звонок
285,Продажи,8368930,Новый,Низкая потребность,0,Холодный звонок
286,Ритейл,9444393,Постоянный,Срочная потребность,1,Договор заключен
287,Строительство,2750601,Новый,Высокая потребность,0,Холодный звонок
288,Консалтинг,4131165,Постоянный,Низкая потребность,0,Работа над договором
289,Продажи,3599027,Новый,Средняя потребность,0,Холодный звонок
290,Продажи,3829699,Постоянный,Срочная потребность,1,Договор заключен
291,Торговля,8160047,Постоянный,Высокая потребность,0,Холодный звонок
292,Строительство,9356987,Постоянный,Высокая потребность,0,Договор расторгнут
293,Ритейл,4873996,Постоянный,Средняя потребность,1,Договор заключен
294,Финансы,5895179,Постоянный,Средняя потребность,0,Холодный звонок
295,Продажи,3965900,Постоянный,Нет потребности,0,Холодный звонок
296,Продажи,15951799,Постоянный,Высокая потребность,1,Договор заключен
297,Торговля,4353319,Постоянный,Нет потребности,0,Договор расторгнут
298,Продажи,18165957,Постоянный,Нет потребности,0,Холодный звонок
299,Строительство,10846281,Постоянный,Высокая потребность,1,Договор заключен
300,Маркетинг,16084004,Постоянный,Срочная потребность,1,Договор заключен
301,Финансы,12782429,Постоянный,Высокая потребность,1,Договор заключен
302,Торговля,5430712,Постоянный,Средняя потребность,1,Договор заключен
303,Маркетинг,12087039,Новый,Средняя потребность,1,Договор заключен
304,Ритейл,5591567,Постоянный,Средняя потребность,0,Холодный звонок
305,Продажи,2503426,Постоянный,Средняя потребность,0,Работа над договором
306,Маркетинг,5206357,Постоянный,Высокая потребность,1,Договор заключен
307,Финансы,5621463,Постоянный,Средняя потребность,0,Холодный звонок
308,Продажи,2830506,Постоянный,Высокая потребность,0,Холодный звонок
309,Финансы,618645,Постоянный,Срочная потребность,0,Холодный звонок
310,Маркетинг,18884397,Новый,Срочная потребность,1,Договор заключен
311,Консалтинг,10341427,Постоянный,Нет потребности,0,Работа над договором
312,Консалтинг,8130648,Постоянный,Средняя потребность,0,Работа над договором
313,Маркетинг,18609553,Новый,Низкая потребность,0,Работа над договором
314,Строительство,4610086,Постоянный,Средняя потребность,1,Договор заключен
315,Строительство,8146982,Постоянный,Средняя потребность,1,Договор заключен
316,Консалтинг,16956420,Новый,Низкая потребность,0,Холодный звонок
317,Торговля,12695834,Новый,Высокая потребность,1,Договор заключен
318,Торговля,8074026,Постоянный,Высокая потребность,1,Договор заключен
319,Ритейл,5228181,Постоянный,Срочная потребность,0,Холодный звонок
320,Торговля,847068,Постоянный,Нет потребности,1,Договор заключен
321,Финансы,1838292,Постоянный,Нет потребности,0,Работа над договором
322,Маркетинг,3364540,Постоянный,Средняя потребность,1,Договор заключен
323,Консалтинг,15764395,Постоянный,Низкая потребность,0,Работа над договором
324,Ритейл,12839119,Постоянный,Средняя потребность,0,Холодный звонок
325,Ритейл,8754338,Новый,Срочная потребность,1,Договор заключен
326,Строительство,15690669,Постоянный,Низкая потребность,0,Работа над договором
327,Строительство,3341506,Постоянный,Низкая потребность,0,Работа над договором
328,Маркетинг,4337047,Постоянный,Высокая потребность,0,Работа над договором
329,Маркетинг,7945676,Новый,Высокая потребность,1,Договор заключен
330,Продажи,18360302,Постоянный,Высокая потребность,1,Договор заключен
331,Продажи,12342509,Постоянный,Средняя потребность,0,Работа над договором
332,Финансы,17042292,Постоянный,Срочная потребность,1,Договор заключен
333,Финансы,5076013,Постоянный,Низкая потребность,0,Холодный звонок
334,Торговля,16990357,Постоянный,Средняя потребность,0,Работа над договором
335,Продажи,1588723,Постоянный,Высокая потребность,0,Работа над договором
336,Торговля,4669073,Постоянный,Срочная потребность,1,Договор заключен
337,Ритейл,10532054,Постоянный,Средняя потребность,1,Договор заключен
338,Финансы,1153139,Новый,Высокая потребность,1,Договор заключен
339,Строительство,17186499,Постоянный,Нет потребности,0,Договор расторгнут
340,Ритейл,17368357,Постоянный,Низкая потребность,0,Договор расторгнут
341,Консалтинг,10898114,Постоянный,Нет потребности,0,Холодный звонок
342,Финансы,6220134,Новый,Высокая потребность,0,Работа над договором
343,Консалтинг,2114433,Постоянный,Средняя потребность,0,Работа над договором
344,Продажи,12435490,Постоянный,Высокая потребность,1,Договор заключен
345,Ритейл,15235342,Постоянный,Нет потребности,0,Холодный звонок
346,Строительство,12110316,Новый,Срочная потребность,1,Договор заключен
347,Ритейл,2696621,Постоянный,Срочная потребность,1,Договор заключен
348,Ритейл,2567031,Постоянный,Низкая потребность,0,Работа над договором
349,Строительство,15649641,Постоянный,Нет потребности,0,Работа над договором
350,Строительство,3306624,Новый,Нет потребности,0,Работа над договором
351,Продажи,18779452,Постоянный,Срочная потребность,1,Договор заключен
352,Маркетинг,2253055,Постоянный,Средняя потребность,0,Работа над договором
353,Финансы,14608243,Новый,Высокая потребность,1,Договор заключен
354,Продажи,19508334,Новый,Средняя потребность,1,Договор заключен
355,Ритейл,8908271,Постоянный,Высокая потребность,1,Договор заключен
356,Ритейл,1275776,Постоянный,Средняя потребность,0,Работа над договором
357,Строительство,17552061,Постоянный,Высокая потребность,1,Договор заключен
358,Ритейл,3868042,Новый,Срочная потребность,0,Холодный звонок
359,Маркетинг,10620033,Постоянный,Низкая потребность,1,Договор заключен
360,Торговля,19693037,Постоянный,Срочная потребность,0,Работа над договором
361,Торговля,14933702,Постоянный,Нет потребности,0,Холодный звонок
362,Ритейл,1069385,Постоянный,Средняя потребность,0,Холодный звонок
363,Строительство,16437042,Новый,Срочная потребность,1,Договор заключен
364,Ритейл,3350651,Постоянный,Высокая потребность,0,Договор расторгнут
365,Маркетинг,15024654,Постоянный,Высокая потребность,1,Договор заключен
366,Продажи,12475963,Новый,Средняя потребность,1,Договор заключен
367,Продажи,5863919,Новый,Средняя потребность,0,Договор расторгнут
368,Финансы,8558646,Новый,Средняя потребность,1,Договор заключен
369,Маркетинг,2489201,Постоянный,Высокая потребность,1,Договор заключен
370,Торговля,19737666,Постоянный,Средняя потребность,1,Договор заключен
371,Финансы,4881019,Постоянный,Средняя потребность,1,Договор заключен
372,Консалтинг,6277264,Постоянный,Средняя потребность,1,Договор заключен
373,Финансы,10132067,Новый,Средняя потребность,0,Работа над договором
374,Финансы,13496751,Постоянный,Средняя потребность,0,Холодный звонок
375,Ритейл,10179746,Постоянный,Низкая потребность,1,Договор заключен
376,Маркетинг,10177012,Новый,Срочная потребность,1,Договор заключен
377,Торговля,11715490,Постоянный,Высокая потребность,1,Договор заключен
378,Торговля,17175275,Постоянный,Низкая потребность,1,Договор заключен
379,Финансы,7992771,Постоянный,Высокая потребность,1,Договор заключен
380,Строительство,16667788,Постоянный,Срочная потребность,1,Договор заключен
381,Маркетинг,15769793,Постоянный,Средняя потребность,0,Холодный звонок
382,Ритейл,19225976,Постоянный,Низкая потребность,1,Договор заключен
383,Ритейл,18276101,Новый,Нет потребности,0,Холодный звонок
384,Строительство,15993875,Постоянный,Нет потребности,0,Работа над договором
385,Маркетинг,5047492,Постоянный,Высокая потребность,1,Договор заключен
386,Маркетинг,15519804,Постоянный,Срочная потребность,1,Договор заключен
387,Маркетинг,14769985,Постоянный,Нет потребности,0,Холодный звонок
388,Торговля,5896604,Постоянный,Высокая потребность,1,Договор заключен
389,Ритейл,13607741,Постоянный,Нет потребности,0,Работа над договором
390,Строительство,5171441,Постоянный,Высокая потребность,0,Работа над договором
391,Торговля,10533346,Постоянный,Высокая потребность,1,Договор заключен
392,Строительство,15965481,Новый,Средняя потребность,0,Договор расторгнут
393,Финансы,3892325,Постоянный,Нет потребности,0,Холодный звонок
394,Консалтинг,6838513,Постоянный,Высокая потребность,1,Договор заключен
395,Торговля,15935360,Постоянный,Срочная потребность,1,Договор заключен
396,Ритейл,9157763,Новый,Средняя потребность,0,Работа над договором
397,Маркетинг,19218431,Постоянный,Низкая потребность,1,Договор заключен
398,Строительство,308014,Постоянный,Низкая потребность,0,Холодный звонок
399,Строительство,14478451,Постоянный,Высокая потребность,1,Договор заключен
400,Финансы,16311835,Постоянный,Высокая потребность,1,Договор заключен
401,Ритейл,18369520,Постоянный,Высокая потребность,1,Договор заключен
402,Торговля,3261573,Постоянный,Высокая потребность,1,Договор заключен
